task_id	task_generation_config_json	env	domain	l1_category	l2_category	suggested_difficulty	suggested_hint	suggested_max_steps	suggested_split	metadata_json
etsy/search/gift_wrapped_vase/10	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for Vase over 100 USD for the occassion of house warming with free delivery (Special Offers) and can be gift wrapped (Ordering options)","gt_url": ["https://www.etsy.com/search?q=vase&min=100&free_shipping=true&gift_wrap=true&attr_3=27"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/digital_download_menu_card/11	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for Etsy's Pick (Etsy's Best) menu card with Gold, Green and Yellow colour under 10 USD with item format as digital downloads and sort by top reviews","gt_url": ["https://www.etsy.com/search?q=menu%20card&max=10&instant_download=true&order=highest_reviews&is_merch_library=true&attr_1=11%2C4%2C1214"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/logo_template/12	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for the logo template under 15 USD with item format as digital downloads","gt_url": ["https://www.etsy.com/search?q=logo+template&instant_download=true&max=15"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/christmas_gift_under_budget/13	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On sale (Special Offers) Star seller (Etsy's best) Christmas gift over 10 USD with free delivery (Special Offers) and can be gift wrapped (Ordering options). Sort by price low to high","gt_url": ["https://www.etsy.com/search?q=christmas+gift&is_discounted=true&free_shipping=true&is_star_seller=true&min=10&gift_wrap=true&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/macrame_swing/14	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On sale (Special Offers) Star seller (Etsy's best) Macrame swing with free delivery between 500 USD - 700 USD, sort by newest","gt_url": ["https://www.etsy.com/search?q=macrame%20swing&is_discounted=true&min=500&max=700&is_star_seller=true&order=date_desc&free_shipping=true"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	easy	null	null	validation	null
etsy/search/key_holder/15	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for key holder for wall under 100 USD with free delivery and sort by price high to low","gt_url": ["https://www.etsy.com/search?q=key+holder+for+wall&free_shipping=true&max=100&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/wood_watch_organizer/16	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On Sale (Special Offers) Star Seller (Etsy's best) wooden watch organizer over 500 USD which can be gift wrapped and sort by price high to low","gt_url": ["https://www.etsy.com/search?q=wooden%20watch%20organizer&is_discounted=true&is_star_seller=true&min=500&order=price_desc&gift_wrap=true"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/aroma_diffuser/17	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for Etsy's Picks (Etsy's best) aroma diffuser between 50 USD - 100 USD with free delivery and sort by newest","gt_url": ["https://www.etsy.com/search?q=aroma+diffuser&free_shipping=true&is_merch_library=true&min=50&max=100&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/sticker_sheet/18	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for sticker sheet for the occasion of Graduation ceremony with item format as digital download","gt_url": ["https://www.etsy.com/search?q=sticker+sheet&instant_download=true&attr_3=24"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	easy	null	null	validation	null
etsy/search/aquarium_decor/19	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for aquarium decor of material stone over 50 USD with free delivery that deliver to Japan, sort by newest","gt_url": ["https://www.etsy.com/search?&q=aquarium+decor&attr_357=255&free_shipping=true&min=50&ship_to=JP&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/glass_tulip_lamp/20	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On Sale (Special Offers) tulip lamp under 50 USD for bedroom with lamp base material of Glass and sort by Top reviews","gt_url": ["https://www.etsy.com/search?q=tulip+lamp&is_discounted=true&attr_357=138&max=50&order=highest_reviews&attr_349=2354"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/dessert_candles/21	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On Sale (Special Offers) dessert candle with fruity scent and wick material as cotton with delivery within 7 days under 30 USD","gt_url": ["https://www.etsy.com/search?q=dessert+candle&max=30&delivery_days=7&attr_671=102&attr_670=4500&is_discounted=true"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/reading_journal/22	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On Sale (Special Offers) Star Seller reading journal and sort by Top reviews","gt_url": ["https://www.etsy.com/search?q=reading+journal&is_star_seller=true&is_discounted=true&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/gaming_desk_accessories/23	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On sale (Special offers) Etsy's Picks (Etsy's Best) gaming desk accessories with colour brown with free delivery sorted by newest over 50 USD","gt_url": ["https://www.etsy.com/search?q=gaming%20desk%20accessories&free_shipping=true&order=date_desc&min=50&is_discounted=true&is_merch_library=true&attr_1=3"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/car_model/24	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On Sale (special offers) Car Model under 200 USD that delivers to India and can be gift wrapped, sorted by Price high to low","gt_url": ["https://www.etsy.com/search?q=car+model&is_discounted=true&max=200&gift_wrap=true&ship_to=IN&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/category/home_and_living/1	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for light fixtures in the Home & Living category, specifically within Lighting, and further narrowed down to Light Fixtures, suitable for a living room renovation, focusing on a minimalist style, plug-in powered designs, in the $100â€“$250 range, eligible for free delivery, and included in Etsyâ€™s Pick, sorted by lowest price.","gt_url": ["https://www.etsy.com/c/home-and-living/lighting/light-fixtures?free_shipping=true&is_merch_library=true&attr_356=2393&attr_750=5141&attr_349=2351&min=100&max=250&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/clothing/2	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for womenâ€™s western clothing on Etsy within the Clothing category, focusing on items in the womenâ€™s western clothing section, specifically looking for Star Seller listings that are currently on sale, featuring a floral pattern, and sorting the results by top customer reviews.","gt_url": ["https://www.etsy.com/c/clothing/womens-clothing?is_discounted=true&is_star_seller=true&attr_185=424&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/art_and_collectibles/3	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for photography items in the Art and Collectibles category, within Photography, featuring framed vertical prints in USD 10â€“USD 50 range, focused on architecture & cityscape as well as landscape & scenery subjects, highlighting Etsyâ€™s Picks and items on sale, sorted by highest price.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/photography?is_discounted=true&is_merch_library=true&attr_515=3641%2C3644&attr_346=2341&attr_479=3460&min=10&max=50&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/jewellery_and_beauty/4	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for nail art products in the Craft Supplies and Tools category, within Jewelry & Beauty and specifically Nail Art, focusing on items from Star Seller listings, in the $25â€“$50 price range, eligible for free delivery, sorted by most recent.","gt_url": ["https://www.etsy.com/c/craft-supplies-and-tools/jewelry-and-beauty/nail-art?free_shipping=true&is_star_seller=true&min=25&max=50&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/eyeglasses/5	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for eyeglasses in the Accessories category, within Sunglasses & Eyewear and specifically Eyeglasses, focusing on items on sale with free delivery, priced above 100 USD, and sorted by top customer reviews.","gt_url": ["https://www.etsy.com/c/accessories/sunglasses-and-eyewear/eyeglasses?free_shipping=true&is_discounted=true&min=100&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/pet_furniture/6	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for pet furniture in the Pet Supplies category, within Pet Furniture, focusing on items made from bamboo, cotton, leather, and oak, in the USD 250â€“USD 500 price range, highlighting Etsyâ€™s Picks with free delivery, and sorted by highest price.","gt_url": ["https://www.etsy.com/c/pet-supplies/pet-furniture?free_shipping=true&is_merch_library=true&attr_357=61%2C102%2C161%2C188&min=250&max=500&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/housewarming_gifts/7	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for nursery decor in the Kids & Baby category, within Nursery Decor, focusing on items in the $50â€“$100 price range, with free delivery, and eligible for gift wrapping.","gt_url": ["https://www.etsy.com/c/kids-and-baby/nursery-decor?free_shipping=true&gift_wrap=true&min=50&max=100"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/wedding_accessories/8	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for wedding accessories in the Weddings category, within Accessories, focusing on items in the $0â€“$900 price range, with free delivery, featuring a classic wedding theme, sorted by highest price.","gt_url": ["https://www.etsy.com/c/weddings/accessories?free_shipping=true&min=0&max=900&attr_480=3473&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/jewellery_set/9	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for jewelry sets in the Weddings category, within Jewelry and specifically Jewelry Sets, focusing on womenâ€™s earrings featuring diamond and emerald gemstones, priced above 250 USD, from Star Seller listings, with free delivery and on sale offers, sorted by most recent.","gt_url": ["https://www.etsy.com/c/weddings/jewelry/jewelry-sets?free_shipping=true&is_discounted=true&is_star_seller=true&attr_308=1060%2C115&attr_342=2310&attr_27=2458&min=250&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/games_and_puzzles/10	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for puzzles in the Toys & Games category, within Games & Puzzles and specifically Puzzles, focusing on items in the $75â€“$100 price range, from Etsyâ€™s Picks, currently on sale, and eligible for gift wrapping, sorted by most recent.","gt_url": ["https://www.etsy.com/c/toys-and-games/games-and-puzzles/puzzles?is_discounted=true&is_merch_library=true&gift_wrap=true&min=75&max=100&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/women_heels/11	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for womenâ€™s pumps (heels) in the Shoes category, within Womenâ€™s Shoes and specifically Pumps, focusing on items in size 5.5, eligible for delivery to the United States, currently on sale with free delivery, and sorted by lowest price.","gt_url": ["https://www.etsy.com/c/shoes/womens-shoes/pumps?free_shipping=true&is_discounted=true&attr_288=1291&ship_to=US&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/digital_downloads_birthday/12	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for party supplies in the Paper & Party Supplies category, within Party Supplies, focusing on digital download items for a 1st birthday occasion, priced under 50 USD, sorted by lowest price.","gt_url": ["https://www.etsy.com/c/paper-and-party-supplies/party-supplies?instant_download=true&min=0&max=50&attr_3=2773&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/kids_and_baby_toys/13	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for toys in the Kids & Baby category, within Toys, focusing on items on sale in the under 500 USD price range, from Star Seller listings, and eligible for delivery to the United States.","gt_url": ["https://www.etsy.com/c/kids-and-baby/toys?is_discounted=true&is_star_seller=true&max=500&ship_to=US"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/earrings_under_3000/14	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Iâ€™m preparing for a wedding event and I want to find elegant dangle and drop earrings in the Jewelry category, specifically within Earrings â†’ Dangle Earrings, that would suit the occasion. Iâ€™m looking for pieces that can be delivered to the United States, priced under 3000 USD, and available with free delivery. Iâ€™d prefer options that are included in Etsyâ€™s Picks and ideally can be gift wrapped, with results sorted by top customer reviews.","gt_url": ["https://www.etsy.com/c/jewelry/earrings/dangle-earrings?free_shipping=true&is_merch_library=true&max=3000&gift_wrap=true&ship_to=US&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/outdoor_garden_and_plants/15	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Iâ€™m looking for plants for outdoor and home garden dÃ©cor on Etsy, focusing on items under the Home & Living category, specifically within Outdoor and Garden and Plants. I want options that fit a decorative setup, with filters for free delivery, items on sale, priced between 300 USD and 500 USD, with delivery to the United States, sorted by highest price.","gt_url": ["https://www.etsy.com/c/home-and-living/outdoor-and-garden/plants?free_shipping=true&is_discounted=true&min=300&max=500&ship_to=US&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/entryway_lights/16	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Iâ€™m planning a home setup and want to find lighting pieces for an entryway, so Iâ€™m browsing Etsy within the Home & Living category, specifically Lighting and Light Fixtures. Iâ€™m looking for gold-colored options that feel suitable for an entryway space, ideally included in Etsyâ€™s Picks and available with free delivery.","gt_url": ["https://www.etsy.com/c/home-and-living/lighting/light-fixtures?free_shipping=true&is_merch_library=true&attr_1=1214&attr_349=2353"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/anniversary_gifts/17	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Iâ€™m looking for anniversary gift ideas and browsing Etsy under Gifts, specifically Anniversary Gifts. I want options that are available with free delivery, priced below 3000 USD, and eligible for gift wrapping. The results should be available for delivery to the United States and sorted by most recent listings.","gt_url": ["https://www.etsy.com/c/gifts/anniversary-gifts?free_shipping=true&min=0&max=3000&gift_wrap=true&ship_to=US&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/visual_arts/18	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for items in the Visual Arts category under Craft Supplies and Tools on Etsy, focusing on products available for delivery to the United States, currently on sale, priced under 50 USD, from Star Seller listings, and sorted by most recent listings.","gt_url": ["https://www.etsy.com/c/craft-supplies-and-tools/visual-arts?is_discounted=true&is_star_seller=true&max=50&ship_to=US&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/girls_clothing/19	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for dresses in the Girls clothing subcategory under Clothing category on Etsy, focusing on the Dresses section, for delivery to the United States, prioritizing items that are on sale, with above-the-knee hem lengths, sorted by most recent listings.","gt_url": ["https://www.etsy.com/c/clothing/girls-clothing/dresses?is_discounted=true&attr_425=2698&ship_to=US&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/musical_instruments/20	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Iâ€™m looking for musical instruments on Etsy for a personal interest in music, browsing within Books, Movies & Music, specifically in the Music and Musical Instruments section. I want items that are on sale, eligible for free delivery, and can be delivered to Japan, with results sorted by lowest price.","gt_url": ["https://www.etsy.com/c/books-movies-and-music/music/musical-instruments?free_shipping=true&is_discounted=true&ship_to=JP&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/book_accessories/21	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for book accessories in the Books, Movies & Music category on Etsy, specifically within Books â†’ Book Accessories, focusing on items that are on sale, from Star Seller listings, and priced in the 25 USD to 50 USD range.","gt_url": ["https://www.etsy.com/c/books-movies-and-music/books/book-accessories?is_discounted=true&is_star_seller=true&min=25&max=50"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	medium	null	null	validation	null
etsy/category/colouring_books/22	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Browse Etsy under books-movies-and-music->books->coloring-books. Apply the following filters: Item Format: Digital Downloads, Price: 10 USD - 25 USD, Sort By: Highest price","gt_url": ["https://www.etsy.com/c/books-movies-and-music/books/coloring-books?instant_download=true&min=10&max=25&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/fragrances/23	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for fragrances in the Bath & Beauty category, specifically within Fragrances, focusing on items priced above 75 USD, from Etsyâ€™s Picks, with free delivery, sorted by most recent listings.","gt_url": ["https://www.etsy.com/c/bath-and-beauty/fragrances?free_shipping=true&is_merch_library=true&min=75&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/skincare/24	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for skincare products in the Bath & Beauty category, specifically within Skin Care, focusing on items in the 25 USD to 50 USD range, that are on sale and eligible for free delivery, sorted by highest price.","gt_url": ["https://www.etsy.com/c/bath-and-beauty/skin-care?free_shipping=true&is_discounted=true&min=25&max=50&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/bags_and_purses/25	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for backpacks in the Bags & Purses category, specifically within Backpacks, focusing on items priced between 200 USD and 250 USD, from Star Seller listings, currently on sale, and sorted by highest price.","gt_url": ["https://www.etsy.com/c/bags-and-purses/backpacks?is_discounted=true&is_star_seller=true&min=200&max=250&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/glass_art_suncatchers/26	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for suncatchers in the Art & Collectibles category, specifically within Glass Art, focusing on items in the 100 USD to 200 USD range, from Star Seller listings, currently on sale with free delivery, and sorted by lowest price.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/glass-art/suncatchers?free_shipping=true&is_discounted=true&is_star_seller=true&min=100&max=200&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	easy	null	null	validation	null
etsy/category/collectibles/27	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for figurines knicks and knacks in the Art & Collectibles category, specifically within Collectibles, focusing on items priced between 25 USD and 75 USD, from Etsyâ€™s Picks, with free delivery, and sorted by highest price.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/collectibles/figurines?free_shipping=true&is_merch_library=true&min=25&max=75&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
etsy/category/fine_art_ceramics/28	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for fine art ceramics on Etsy within the Art & Collectibles category, specifically under ceramics, focusing on pieces that align with glass, clay, and bone china materials. Prioritize items marked On Sale and included in Etsy Picks, within a $250 budget, ideally suited for curated, recently listed finds and sorted by most recent additions.","gt_url": ["https://www.etsy.com/c/art-and-collectibles/fine-art-ceramics?explicit=1&is_discounted=true&is_merch_library=true&max=250&attr_357=5345%2C3702%2C138&ship_to=US&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	category	hard	null	null	validation	null
